algorithm,algorithm_display_name,method_class,model_seed,episodes,mean_episode_vessel_fuel_eur,mean_episode_conditioning_eur,mean_episode_reconditioning_eur,mean_episode_loading_eur,mean_episode_unloading_eur,mean_episode_operating_cost_eur,mean_episode_vent_penalty_eur,mean_episode_storage_shortfall_penalty_eur,mean_episode_total_cost_eur,mean_terminal_cleanup_operating_cost_eur,mean_operating_cost_eur,mean_total_cost_eur,mean_captured_t,mean_stored_t,mean_vented_t,mean_storage_rate,mean_loss_rate,mean_unit_total_cost_eur_per_t,mean_delta_total_cost_vs_greedy_eur,sd_total_cost_eur,sd_delta_total_cost_vs_greedy_eur,wins_vs_greedy,ties_vs_greedy,losses_vs_greedy
fixed_assignment,Fixed-Assignment Heuristic,heuristic,,30,472415.4820000063,834409.5516765106,39187.27326411642,3257.0782052334384,2901.565396449609,1352170.9505423168,969639.6363492763,0.0,2321810.586891593,265131.2570975244,1617302.2076398407,2586941.8439891175,126282.56570334815,95578.71527833273,12120.495454365957,0.7572657683380343,0.09526068855981773,27.227657813858496,332730.2803525508,373637.28190331085,453095.03708857036,6,0,24
greedy,Greedy,heuristic,,30,503371.08800000505,898962.8045508272,42223.51198182082,3509.0587735184167,3129.1179018034313,1451195.5812079757,583741.8577852814,0.0,2034937.4389932568,219274.1246433097,1670469.705851285,2254211.563636566,126282.56570334815,102984.17556541666,7296.773222316017,0.8157191077817246,0.05767828848964209,22.396848358833356,0.0,419091.8801098633,0.0,0,30,0
ppo_hourly,Hourly Centralized Maskable PPO,reinforcement_learning,0,30,819112.73400001,416508.6929546073,15324.97194375895,1625.8219760152683,1092.5790047185578,1253664.7998791097,4272749.162941007,0.0,5526413.962820116,422472.94975669484,1676137.7496358047,5948886.912576811,126282.56570334815,37377.980350631646,53409.364536762594,0.2965043953616081,0.422100623771586,165.50751807986404,3694675.348940246,623243.8810185158,636391.7414145303,0,0,30
ppo_hourly,Hourly Centralized Maskable PPO,reinforcement_learning,1,30,789706.9840000094,491862.713129711,19501.175312921463,1919.96282842512,1402.764526689791,1304393.5997977569,3778354.171499479,0.0,5082747.771297237,383668.5617595836,1688062.1615573405,5466416.333056821,126282.56570334815,47563.84222663779,47229.4271437435,0.37695166216542925,0.3734128451512531,119.46364673153516,3212204.7694202536,568555.7278723349,696287.8400793719,0,0,30
ppo_hourly,Hourly Centralized Maskable PPO,reinforcement_learning,2,30,794647.1500000092,470711.9788873453,19395.86491022739,1837.4019380481104,1411.7608230863054,1288004.156558716,3890518.2929220293,0.0,5178522.449480745,385070.8917602971,1673075.0483190133,5563593.341241042,126282.56570334815,47306.98758592051,48631.478661525376,0.37469609700515283,0.38459289244999556,123.18371678971631,3309381.7776044765,612263.7258907933,612500.7699350788,0,0,30
ppo_high_level,High-level Centralized Maskable PPO,reinforcement_learning,0,30,667849.5560000075,937177.3803572899,44166.1445295269,3658.227562072416,3323.6511473359565,1656174.9595962323,307350.87932503707,0.0,1963525.8389212699,220730.01303055586,1876904.9726267888,2184255.851951826,126282.56570334815,107722.30373055341,3841.885991562963,0.8535086541481041,0.030044545240511332,20.456291039871992,-69955.7116847408,317706.31412280706,473018.930273751,17,0,13
ppo_high_level,High-level Centralized Maskable PPO,reinforcement_learning,1,30,678657.0340000078,940262.7658015479,44480.16859075298,3670.271218170368,3326.285740170426,1670396.5253506491,276013.2940343723,0.0,1946409.8193850212,216232.39985707033,1886628.9252077197,2162642.2192420918,126282.56570334815,108488.21607500728,3450.166175429655,0.8597322741285557,0.02671846264102069,20.152263672529823,-91569.34439447446,384661.43874729937,471200.5360112314,15,0,15
ppo_high_level,High-level Centralized Maskable PPO,reinforcement_learning,2,30,675584.9980000074,926474.0196510057,43463.35654906448,3616.447499980432,3243.688250000004,1652382.5099500578,329469.37800180935,0.0,1981851.8879518674,232982.26894585378,1885364.7788959118,2214834.156897721,126282.56570334815,106008.1867050353,4118.367225022616,0.8392710734210392,0.03260346142221594,21.231274193331167,-39377.406738845144,374601.6186456878,535375.8285798131,16,0,14
ppo_event_residual,Event-Residual PPO,reinforcement_learning,0,30,576117.4540000056,888506.7019572004,42231.37111564016,3468.2438717702757,3143.4746233539013,1513467.2455679707,436660.305034377,0.0,1950127.5506023476,262690.884634385,1776158.130202355,2212818.435236733,126282.56570334815,103003.3441844882,5458.253812929713,0.816298635979051,0.042659647461297585,21.690148160174893,-41393.12839983388,370995.61788130045,407933.8275761377,18,0,12
ppo_event_residual,Event-Residual PPO,reinforcement_learning,1,30,566721.4520000056,869009.2531981784,41584.384851654955,3392.1365030529932,3090.9789162448346,1483798.2054691368,577670.9141215666,0.0,2061469.1195907034,268972.5576005703,1752770.7630697074,2330441.677191274,126282.56570334815,101425.32890647548,7220.886426519583,0.8035807944182506,0.05666789510403755,23.12247854263237,76230.11355470742,364895.8413885565,373893.3755878571,12,0,18
